keys,en,es,es_MX,ja,de,fr,it,pt
RETURN,Return,Retribución,Retribución,おんがえし,Rückgabe,Jackpot,Ritorno,Retribuição
PRESENT,Present,Regalo,Regalo,プレゼント,Geschenk,Jackpot,Regalo,Presente
FRUSTRATION,Frustration,Frustración,Frustración,やつあたり,Frust,Jackpot,Frustrazione,Frustração
SAFEGUARD,Safeguard,Velo Sagrado,Velo Sagrado,しんぴのまもり,Schutzschild,Jackpot,Velo Sacro,Véu Sagrado
PAIN_SPLIT,Pain Split,Divide Dolor,Divide Dolor,なやみのたね,Schmerzteiler,Jackpot,Condividi Dolore,Dividir Dor
SACRED_FIRE,Sacred Fire,Fuego Sagrado,Fuego Sagrado,せいなるほのお,Heiliges Feuer,Jackpot,Fuoco Sacro,Fogo Sagrado
MAGNITUDE,Magnitude,Magnitud,Magnitud,マグニチュード,Magnitude,Jackpot,Magnitudo,Magnitude
DYNAMIC_PUNCH,Dynamic Punch,Puño Dinámico,Puño Dinámico,ばくれつパンチ,Dynamikpunch,Jackpot,Pugno Dinamico,Soco Dinâmico
MEGAHORN,Megahorn,Megacuerno,Megacuerno,メガホーン,Megahorn,Jackpot,Megacorno,Megachifre
DRAGON_BREATH,Dragon Breath,Aliento Dragón,Aliento Dragón,りゅうのいぶき,Drachenodem,Jackpot,Soffio Drago,Sopro do Dragão
BATON_PASS,Baton Pass,Relevo,Relevo,バトンタッチ,Stafette,Jackpot,Testimone,Revezamento
ENCORE,Encore,Bis,Bis,アンコール,Zugabe,Jackpot,Bis,Bis
PURSUIT,Pursuit,Persecución,Persecución,おいうち,Verfolgung,Jackpot,Inseguimento,Perseguição
RAPID_SPIN,Rapid Spin,Giro Rápido,Giro Rápido,こうそくスピン,Turbodrall,Jackpot,Rotazione Rapida,Giro Rápido
SWEET_SCENT,Sweet Scent,Aroma Dulce,Aroma Dulce,あまいかおり,Süßduft,Jackpot,Profumo Dolce,Aroma Doce
IRON_TAIL,Iron Tail,Cola Férrea,Cola Férrea,アイアンテール,Eisenschweif,Jackpot,Coda di Ferro,Cauda de Ferro
METAL_CLAW,Metal Claw,Garra Metal,Garra Metal,メタルクロー,Metallklaue,Jackpot,Artiglio Metal,Garra Metálica
VITAL_THROW,Vital Throw,Lanzamiento,Lanzamiento,きしかいせい,Vitalwurf,Jackpot,Lancio Vitale,Arremesso Vital
MORNING_SUN,Morning Sun,Amanecer,Amanecer,あさのひざし,Morgensonne,Jackpot,Sole del Mattino,Sol da Manhã
SYNTHESIS,Synthesis,Síntesis,Síntesis,こうごうせい,Synthese,Jackpot,Sintesi,Síntese
MOONLIGHT,Moonlight,Luz Lunar,Luz Lunar,つきのひかり,Mondlicht,Jackpot,Chiarore Lunare,Luar
HIDDEN_POWER,Hidden Power,Poder Oculto,Poder Oculto,めざめるパワー,Hiddenpow,Jackpot,Forza Nascosta,Poder Oculto
CROSS_CHOP,Cross Chop,Golpe Bis,Golpe Bis,クロスチョップ,Kreuzchop,Jackpot,Doppio Taglio,Duplo Golpe
TWISTER,Twister,Torbellino,Torbellino,たつまき,Wirbelwind,Jackpot,Turbine,Tornado
RAIN_DANCE,Rain Dance,Danza Lluvia,Danza Lluvia,あまごい,Regentanz,Danse Pluie,Danza Pioggia,Dança da Chuva
SUNNY_DAY,Sunny Day,Día Soleado,Día Soleado,にほんばれ,Sonnentag,Zénith,Giorno Sole,Dia Ensolarado
CRUNCH,Crunch,Triturar,Triturar,かみくだく,Knirscher,Jackpot,Stritola,Triturar
MIRROR_COAT,Mirror Coat,Espejo,Espejo,ミラーコート,Spiegelcoat,Jackpot,Specchio,Espelho
PSYCH_UP,Psych Up,Psicoterapia,Psicoterapia,きあいだめ,Aufputschen,Jackpot,Psicoterapia,Automotivação
EXTREME_SPEED,Extreme Speed,Velocidad Extrema,Velocidad Extrema,しんそく,Extremtempo,Jackpot,Velocità Estrema,Velocidade Extrema
ANCIENT_POWER,Ancient Power,Poder Ancestral,Poder Ancestral,げんしのちから,Urkraft,Jackpot,Forza Antica,Força Ancestral
SHADOW_BALL,Shadow Ball,Bola Sombra,Bola Sombra,シャドーボール,Schattenball,Jackpot,Palla Ombra,Bola Sombria
FUTURE_SIGHT,Future Sight,Visión Futura,Visión Futura,みらいよち,Zukunft,Jackpot,Visione Futura,Visão Futura
ROCK_SMASH,Rock Smash,Romperroca,Romperroca,いわくだき,Felsspalter,Jackpot,Spaccaroccia,Quebra-Pedra
WHIRLPOOL,Whirlpool,Remolino,Remolino,うずしお,Strudel,Jackpot,Gorgo,Redemoinho
BEAT_UP,Beat Up,Paliza,Paliza,ふくろだたき,Überfall,Jackpot,Pestata,Surra
FAKE_OUT,Fake Out,Finta,Finta,ねこだまし,Vorspiegelung,Jackpot,Finta,Fintar
UPROAR,Uproar,Alboroto,Alboroto,さわぐ,Krawall,Jackpot,Chiasso,Alvoroço
STOCKPILE,Stockpile,Reserva,Reserva,たくわえる,Einlagern,Jackpot,Riserva,Reserva
SPIT_UP,Spit Up,Escupir,Escupir,はきだす,Ausspucken,Jackpot,Sputare,Cuspir
SWALLOW,Swallow,Tragar,Tragar,のみこむ,Schlucken,Jackpot,Inghiottire,Engolir
HEAT_WAVE,Heat Wave,Ola de Calor,Ola de Calor,ねっぷう,Hitzewelle,Jackpot,Onda di Calore,Onda de Calor
HAIL,Hail,Granizo,Granizo,あられ,Hagel,Grêle,Grandine,Granizo
TORMENT,Torment,Tormento,Tormento,いちゃもん,Tortur,Tourmente,Tormento,Tormento
FLATTER,Flatter,Halago,Halago,おだてる,Schmeichelei,Jackpot,Adulazione,Adulação
WILL_O_WISP,Will-O-Wisp,Fuego Fatuo,Fuego Fatuo,おにび,Irrlicht,Jackpot,Fuocherello,Fogo-Fátuo
MEMENTO,Memento,Mementos,Mementos,みかづきのまい,Andenken,Jackpot,Memento,Memento
FACADE,Facade,Fachada,Fachada,からげんき,Fassade,Jackpot,Facciata,Fachada
FOCUS_PUNCH,Focus Punch,Puño Certero,Puño Certero,きあいパンチ,Fokustreffer,Jackpot,Pugno Focale,Soco Focado
SMELLING_SALTS,Smelling Salts,Sales,Sales,きつけ,Riechsalz,Jackpot,Sali,Sais Aromáticos
FOLLOW_ME,Follow Me,Sígueme,Sígueme,このゆびとまれ,Folge mir,Jackpot,Seguimi,Siga-me
NATURE_POWER,Nature Power,Poder Natural,Poder Natural,しぜんのちから,Naturkraft,Jackpot,Forza Natura,Força Natural
CHARGE,Charge,Carga,Carga,じゅうでん,Laden,Jackpot,Carica,Carga
TAUNT,Taunt,Mofa,Mofa,ちょうはつ,Spott,Jackpot,Provocazione,Provocação
HELPING_HAND,Helping Hand,Mano Amiga,Mano Amiga,てだすけ,Helfende Hand,Jackpot,Mano d'Aiuto,Mão Amiga
TRICK,Trick,Truco,Truco,トリック,Trick,Truc,Truco,Truque
ROLE_PLAY,Role Play,Juego de Rol,Juego de Rol,なりきり,Rollenspiel,Jackpot,Gioco di Ruolo,Jogo de Papel
WISH,Wish,Deseo,Deseo,ねがいごと,Wunsch,Vœu,Desiderio,Desejo
ASSIST,Assist,Auxilio,Auxilio,ネコのて,Assistenz,Jackpot,Aiuto,Auxílio
INGRAIN,Ingrain,Arraigo,Arraigo,ねをはる,Verwurzeln,Jackpot,Radici,Enraizar
SUPERPOWER,Superpower,Fuerza Bruta,Fuerza Bruta,ばかぢから,Supermacht,Jackpot,Superforzaforza,Super Força
MAGIC_COAT,Magic Coat,Escudo Mágico,Escudo Mágico,マジックコート,Magiemantel,Jackpot,Mantello Magico,Manto Mágico
RECYCLE,Recycle,Reciclar,Reciclar,リサイクル,Recycling,Jackpot,Riciclo,Reciclar
REVENGE,Revenge,Venganza,Venganza,リベンジ,Revanche,Revanche,Vendetta,Vingança
BRICK_BREAK,Brick Break,Rompe Pantalla,Rompe Pantalla,かわらわり,Ziegelbrecher,Jackpot,Rompi Barriera,Quebra-Tela
YAWN,Yawn,Bostezo,Bostezo,あくび,Gähnen,Jackpot,Sbadiglio,Bocejo
KNOCK_OFF,Knock Off,Golpe Bajo,Golpe Bajo,はたきおとす,Abwurf,Jackpot,Colpo Basso,Derrubar
ENDEAVOR,Endeavor,Sacrificio,Sacrificio,がむしゃら,Bemühung,Jackpot,Sacrificio,Empenho
ERUPTION,Eruption,Erupción,Erupción,ふんか,Eruption,Jackpot,Eruzione,Erupção
SKILL_SWAP,Skill Swap,Intercambio,Intercambio,スキルスワップ,Talentswap,Jackpot,Scambio Abilità,Troca de Habilidade
IMPRISON,Imprison,Encarcelar,Encarcelar,とおせんぼ,Einsperren,Jackpot,Imprigionare,Aprisionar
REFRESH,Refresh,Refresco,Refresco,リフレッシュ,Auffrischen,Jackpot,Rinfresco,Refrescar
GRUDGE,Grudge,Rencor,Rencor,おんねん,Groll,Jackpot,Rancore,Rancor
SNATCH,Snatch,Robo,Robo,きりばらい,Entreißen,Jackpot,Furto,Roubo
SECRET_POWER,Secret Power,Poder Secreto,Poder Secreto,ひみつのちから,Geheimkraft,Jackpot,Forza Segreta,Força Secreta
DIVE,Dive,Buceo,Buceo,ダイビング,Tauchen,Jackpot,Immersione,Mergulho
ARM_THRUST,Arm Thrust,Empuje,Empuje,とっしん,Armschub,Jackpot,Spinta,Empurrão
CAMOUFLAGE,Camouflage,Camuflaje,Camuflaje,カモフラージュ,Tarnung,Jackpot,Mimetismo,Camuflagem
TAIL_GLOW,Tail Glow,Cola Brillo,Cola Brillo,ほたるび,Schweifleuchten,Jackpot,Coda Splendente,Brilho da Cauda
LUSTER_PURGE,Luster Purge,Destello,Destello,ラスターカノン,Lüsterpurge,Jackpot,Purga Lucente,Purga Brilhante
MIST_BALL,Mist Ball,Bola Niebla,Bola Niebla,ミストボール,Nebelball,Jackpot,Sfera Nebbia,Bola de Névoa
FEATHER_DANCE,Feather Dance,Danza Pluma,Danza Pluma,はねダンス,Federtanz,Jackpot,Danza Piume,Dança das Penas
TEETER_DANCE,Teeter Dance,Danza Tambaleo,Danza Tambaleo,ころころころがる,Torkelttanz,Jackpot,Danza Barcollante,Dança Bambolê
BLAZE_KICK,Blaze Kick,Patada Ígnea,Patada Ígnea,ブレイズキック,Feuertritt,Jackpot,Calcio Ardente,Chute Brasa
MUD_SPORT,Mud Sport,Baño de Barro,Baño de Barro,どろあそび,Schlammsport,Jackpot,Sport Fango,Esporte no Lama
ICE_BALL,Ice Ball,Bola de Nieve,Bola de Nieve,こおりのまり,Eisball,Jackpot,Palla di Ghiaccio,Bola de Gelo
NEEDLE_ARM,Needle Arm,Brazo Aguja,Brazo Aguja,ニードルアーム,Nadelarm,Jackpot,Braccio Ago,Braço Agulha
SLACK_OFF,Slack Off,Holgazanear,Holgazanear,なまける,Faulenzen,Jackpot,Poltrire,Preguiçar
HYPER_VOICE,Hyper Voice,Vozarrón,Vozarrón,ハイパーボイス,Überstimme,Jackpot,Ipervoce,Hipervoz
POISON_FANG,Poison Fang,Colmillo Venenoso,Colmillo Venenoso,どくどくのきば,Giftzahn,Jackpot,Zanna Veleno,Presa Venenosa
CRUSH_CLAW,Crush Claw,Garra Brutal,Garra Brutal,ブレイククロー,Brechklaue,Jackpot,Artiglio Distruttivo,Garra Brutal
BLAST_BURN,Blast Burn,Llamarada Final,Llamarada Final,ブラストバーン,Feuersturm,Jackpot,Vampata Finale,Explosão Final
HYDRO_CANNON,Hydro Cannon,Hidrocañón,Hidrocañón,ハイドロカノン,Hydrokanone,Jackpot,Idrocannone,Hidrocanhão
METEOR_MASH,Meteor Mash,Golpe Meteoro,Golpe Meteoro,コメットパンチ,Meteorhieb,Jackpot,Pugno Meteora,Soco Meteoro
ASTONISH,Astonish,Asombro,Asombro,おどろかす,Bestürzen,Jackpot,Stupore,Assombro
WEATHER_BALL,Weather Ball,Bola Clima,Bola Clima,ウェザーボール,Wetterball,Jackpot,Palla Meteo,Bola Climática
AROMATHERAPY,Aromatherapy,Aromaterapia,Aromaterapia,アロマセラピー,Aromatherapie,Jackpot,Aromaterapia,Aromaterapia
FAKE_TEARS,Fake Tears,Falsas Lágrimas,Falsas Lágrimas,うそなき,Krokodilstränen,Jackpot,Lacrime False,Lágrimas Falsas
AIR_CUTTER,Air Cutter,Cortaviento,Cortaviento,エアカッター,Luftschneider,Jackpot,Tagliavento,Corta-Vento
OVERHEAT,Overheat,Sofoco,Sofoco,オーバーヒート,Überhitzung,Jackpot,Surriscaldamento,Superaquecimento
ODOR_SLEUTH,Odor Sleuth,Rastreo,Rastreo,においさがし,Geruchssinn,Jackpot,Fiuto,Rastreio
ROCK_TOMB,Rock Tomb,Tumba Rocas,Tumba Rocas,いわおとし,Felsgrab,Jackpot,Tomba di Rocce,Tumba de Pedras
SILVER_WIND,Silver Wind,Viento Plateado,Viento Plateado,ぎんいろかぜ,Silberwind,Jackpot,Vento d'Argento,Vento Prateado
METAL_SOUND,Metal Sound,Sonido Metal,Sonido Metal,メタルサウンド,Metallgeräusch,Jackpot,Suono Metallico,Som Metálico
GRASS_WHISTLE,Grass Whistle,Hierba Silbato,Hierba Silbato,くさぶえ,Graspfeife,Jackpot,Fischio d'Erba,Apito de Erva
TICKLE,Tickle,Cosquillas,Cosquillas,くすぐる,Kitzeln,Jackpot,Solletico,Cócegas
COSMIC_POWER,Cosmic Power,Poder Cósmico,Poder Cósmico,コスモパワー,Kosmoskraft,Jackpot,Potere Cosmico,Poder Cósmico
WATER_SPOUT,Water Spout,Surtidor,Surtidor,しおふき,Wasserspeier,Jackpot,Getto d'Acqua,Jato de Água
SIGNAL_BEAM,Signal Beam,Rayo Señal,Rayo Señal,シグナルビーム,Signalstrahl,Jackpot,Raggio Segnale,Raio Sinal
SHADOW_PUNCH,Shadow Punch,Puño Sombra,Puño Sombra,シャドーパンチ,Schattenfaust,Jackpot,Pugno Ombra,Soco Sombrio
EXTRASENSORY,Extrasensory,Extrasensorial,Extrasensorial,しんりょく,Extrasinn,Jackpot,Extrasensoriale,Extrassensorial
SKY_UPPERCUT,Sky Uppercut,Uppercut Aéreo,Uppercut Aéreo,スカイアッパー,Himmelsaufwärtshaken,Jackpot,Uppercut Aereo,Uppercut Aéreo
SAND_TOMB,Sand Tomb,Trampa Arena,Trampa Arena,すなじごく,Sandgrab,Jackpot,Tomba di Sabbia,Tumba de Areia
SHEER_COLD,Sheer Cold,Ventisca,Ventisca,ぜったいれいど,Absoluter Nullpunkt,Jackpot,Freddo Assoluto,Frio Absoluto
MUDDY_WATER,Muddy Water,Agua Lodosa,Agua Lodosa,だくりゅう,Schlammwasser,Jackpot,Acqua Fangosa,Água Lamacenta
BULLET_SEED,Bullet Seed,Semilladora,Semilladora,タネマシンガン,Kugelsamen,Jackpot,Semi Pallottola,Sementes-Bala
AERIAL_ACE,Aerial Ace,Acróbata,Acróbata,つばめがえし,Luftschnitt,Jackpot,Acrobazia Aerea,Acrobacia Aérea
ICICLE_SPEAR,Icicle Spear,Carámbano,Carámbano,つらら ばり,Eisspeerspitze,Jackpot,Lancia Ghiacciolo,Lança de Gelo
IRON_DEFENSE,Iron Defense,Defensa Férrea,Defensa Férrea,てっぺき,Eisenabwehr,Jackpot,Difesa Ferrea,Defesa de Ferro
BLOCK,Block,Bloqueo,Bloqueo,ふさぐ,Blockieren,Jackpot,Blocco,Bloqueio
HOWL,Howl,Aullido,Aullido,ほえる,Heulen,Jackpot,Ululato,Uivo
DRAGON_CLAW,Dragon Claw,Garra Dragón,Garra Dragón,ドラゴンクロー,Drachenklaue,Jackpot,Artiglio Drago,Garra do Dragão
FRENZY_PLANT,Frenzy Plant,Furia Vegetal,Furia Vegetal,ソーラービーム,Rasendolch,Jackpot,Frenesia Vegetale,Fúria Vegetal
BULK_UP,Bulk Up,Corpulencia,Corpulencia,ビルドアップ,Muskelaufbau,Jackpot,Pienezza,Enrijecer
BOUNCE,Bounce,Rebote,Rebote,とびはねる,Abpraller,Jackpot,Rimbalzo,Ricochete
MUD_SHOT,Mud Shot,Lodazal,Lodazal,どろばくだん,Schlammschuss,Jackpot,Pallafango,Tiro de Lama
POISON_TAIL,Poison Tail,Cola Veneno,Cola Veneno,どくのしっぽ,Giftschwanz,Jackpot,Coda Velenosa,Cauda Venenosa
COVET,Covet,Codicia,Codicia,ほしがる,Begehren,Jackpot,Bramosia,Cobiça
VOLT_TACKLE,Volt Tackle,Voltio Cruel,Voltio Cruel,ボルテッカー,Voltangriff,Jackpot,Voltarrembaggio,Voltagem Cruel
MAGICAL_LEAF,Magical Leaf,Hoja Mágica,Hoja Mágica,マジカルリーフ,Magieblatt,Jackpot,Foglia Magica,Folha Mágica
WATER_SPORT,Water Sport,Baño,Baño,みずあそび,Wassersport,Jackpot,Sport Acquatico,Esporte Aquático
CALM_MIND,Calm Mind,Meditación,Meditación,めいそう,Innere Ruhe,Jackpot,Mente Serena,Mente Calma
LEAF_BLADE,Leaf Blade,Hoja Aguda,Hoja Aguda,リーフブレード,Blattklinge,Jackpot,Lama Foglia,Lâmina de Folha
DRAGON_DANCE,Dragon Dance,Danza Dragón,Danza Dragón,りゅうのまい,Drachentanz,Jackpot,Danza del Drago,Dança do Dragão
ROCK_BLAST,Rock Blast,Pedrada,Pedrada,いわなだれ,Felsbeschuss,Jackpot,Esplosione Rocce,Explosão de Pedras
SHOCK_WAVE,Shock Wave,Onda de Choque,Onda de Choque,でんきショック,Schockwelle,Onde de Choc,Onda d'Urto,Onda de Choque
WATER_PULSE,Water Pulse,Pulso Agua,Pulso Agua,みずのはどう,Wasserpuls,Hydrojet,Impulso Acqua,Pulso d'Água
DOOM_DESIRE,Doom Desire,Deseo Condena,Deseo Condena,はめつのねがい,Unheilwunsch,Vœu Damnant,Desiderio Fatale,Desejo da Ruína
PSYCHO_BOOST,Psycho Boost,Psicoataque,Psicoataque,サイコブースト,Psychoboost,Élan Psy,Psicoimpulso,Psicoimpulso
ROOST,Roost,Descanso,Descanso,はねやすめ,Rasten,Repos,Riposo,Pouso
GRAVITY,Gravity,Gravedad,Gravedad,じゅうりょく,Gravitation,Gravité,Gravità,Gravidade
MIRACLE_EYE,Miracle Eye,Ojo Milagro,Ojo Milagro,ミラクルアイ,Wundersicht,Œil Miracle,Occhio Miracolo,Olho Milagroso
WAKE_UP_SLAP,Wake-Up Slap,Bofetón Espabilar,Bofetón Espabilar,おこしびんた,Wachklatsche,Gifle Réveil,Schiaffo Sveglia,Tapa Acorda
HAMMER_ARM,Hammer Arm,Brazo Martillo,Brazo Martillo,ハンマーアーム,Hammerarm,Bras Marteau,Braccio Martello,Braço Martelo
GYRO_BALL,Gyro Ball,Bola Giro,Bola Giro,ジャイロボール,Gyroball,Gyroballe,Pallagyro,Bola Giratória
HEALING_WISH,Healing Wish,Deseo Curativo,Deseo Curativo,いやしのねがい,Heilwunsch,Vœu Soin,Desiderio Curativo,Desejo Curativo
BRINE,Brine,Agua Salada,Agua Salada,しおみず,Salzwasser,Saumure,Salamoia,Salmoura
NATURAL_GIFT,Natural Gift,Don Natural,Don Natural,しぜんのめぐみ,Naturgeschenk,Don Naturel,Dono Naturale,Dom Natural
FEINT,Feint,Treta,Treta,フェイント,Finte,Feinte,Finta,Ardil
PLUCK,Pluck,Picoteo,Picoteo,ついばむ,Aufpicken,Picorer,Beccuzzata,Bicar
TAILWIND,Tailwind,Viento Cola,Viento Cola,おいかぜ,Rückenwind,Vent Arrière,Vento di Coda,Vento de Cauda
ACUPRESSURE,Acupressure,Acupresión,Acupresión,つぼをつく,Akupressur,Acupression,Agopressione,Acupressão
METAL_BURST,Metal Burst,Explosión Metálica,Explosión Metálica,メタルバースト,Metallausbruch,Éclat Métal,Esplosione Metallica,Explosão Metálica
U_TURN,U-turn,Ida y Vuelta,Ida y Vuelta,とんぼがえり,Kehrtwende,Demi-Tour,Andata e Ritorno,Ida e Volta
CLOSE_COMBAT,Close Combat,Combate,Combate,インファイト,Nahkampf,Close Combat,Corpo a Corpo,Combate Próximo
PAYBACK,Payback,Represalia,Represalia,しっぺがえし,Revanche,Représailles,Rappresaglia,Represália
ASSURANCE,Assurance,Seguridad,Seguridad,ダメおし,Gewissheit,Assurance,Sicurezza,Garantia
EMBARGO,Embargo,Embargo,Embargo,さしおさえ,Embargo,Embargo,Embargo,Embargo
FLING,Fling,Lanzamiento,Lanzamiento,なげつける,Wurf,Lancer,Lancio,Arremesso
PSYCHO_SHIFT,Psycho Shift,Transmisión,Transmisión,サイコシフト,Psychotransfer,Psycho-Transfert,Psicotrasferimento,Transmissão Psíquica
TRUMP_CARD,Trump Card,Carta del As,Carta del As,トランプカード,Trumpfkarte,Atout,Carta Trump,Carta Trunfo
HEAL_BLOCK,Heal Block,Bloqueo Cura,Bloqueo Cura,かいふくふうじ,Heilsperre,Blocage Soin,Blocco Cura,Bloqueio Cura
WRING_OUT,Wring Out,Escurrir,Escurrir,しぼりとる,Auswringen,Essorage,Strizzare,Espremer
POWER_TRICK,Power Trick,Truco Potencia,Truco Potencia,パワートリック,Krafttrick,Truc Puissance,Trucco Potenza,Truque de Poder
GASTRO_ACID,Gastro Acid,Ácido Gástrico,Ácido Gástrico,いかりのまえば,Magensäure,Acide Gastrique,Acido Gastrico,Ácido Gástrico
LUCKY_CHANT,Lucky Chant,Canto Suerte,Canto Suerte,おまじない,Glückszauber,Chant Chance,Canto Fortuna,Canto da Sorte
ME_FIRST,Me First,Primero Yo,Primero Yo,さきどり,Ich Zuerst,Moi d'abord,Prima Io,Eu Primeiro
COPYCAT,Copycat,Imitación,Imitación,まねっこ,Nachahmer,Imitation,Imitazione,Imitação
POWER_SWAP,Power Swap,Intercambio Poder,Intercambio Poder,パワーシェア,Krafttausch,Échange Puissance,Scambio Potere,Troca de Poder
GUARD_SWAP,Guard Swap,Intercambio Guardia,Intercambio Guardia,ガードシェア,Abwehrtausch,Échange Garde,Scambio Guardia,Troca de Guarda
PUNISHMENT,Punishment,Castigo,Castigo,こらえる,Strafe,Châtiment,Punizione,Castigo
LAST_RESORT,Last Resort,Último Recurso,Último Recurso,すてみ,Letzter Ausweg,Dernier Recours,Ultima Risorsa,Último Recurso
WORRY_SEED,Worry Seed,Semilla Preocupa,Semilla Preocupa,しんぱいのたね,Sorgensamen,Graine Souci,Seme Preoccupazione,Semente da Preocupação
SUCKER_PUNCH,Sucker Punch,Golpe Bajo,Golpe Bajo,ふいうち,Fiesling,Jackpot,Colpo Basso,Golpe Traiçoeiro
TOXIC_SPIKES,Toxic Spikes,Pinchos Tóxicos,Pinchos Tóxicos,どくびし,Giftstachler,Pics Toxik,Aculei Tossici,Espinhos Tóxicos
HEART_SWAP,Heart Swap,Intercambio Corazón,Intercambio Corazón,ハートスワップ,Herzentausch,Échange Cœur,Scambio Cuore,Troca de Coração
AQUA_RING,Aqua Ring,Anillo de Agua,Anillo de Agua,アクアリング,Aquaring,Anneau Aqua,Anello Acqua,Anel de Água
MAGNET_RISE,Magnet Rise,Levitación Magnética,Levitación Magnética,でんじふゆう,Magnetlevitation,Lévitation Magnétique,Levitazione Magnetica,Levitação Magnética
FLARE_BLITZ,Flare Blitz,Golpe Calor,Golpe Calor,フレアドライブ,Nitrolader,Blizzard,Fiammata Massima,Golpe de Chamas
FORCE_PALM,Force Palm,Palma Fuerza,Palma Fuerza,かりうち,Kraftpalme,Paume Force,Palmo Forza,Palma da Força
AURA_SPHERE,Aura Sphere,Esfera Aural,Esfera Aural,はどうだん,Aurasphäre,Sphère Aura,Sfera Aura,Esfera de Aura
ROCK_POLISH,Rock Polish,Pulimento,Pulimento,がんせきポリッシュ,Felspolitur,Jackpot,Lucidatura Rocce,Polimento
POISON_JAB,Poison Jab,Pinchazo,Pinchazo,どくづき,Giftstich,Jackpot,Puntura Veleno,Picada Venenosa
DARK_PULSE,Dark Pulse,Pulso Umbrío,Pulso Umbrío,あくのはどう,Schattenpuls,Jackpot,Impulso Oscuro,Pulso Sombrio
NIGHT_SLASH,Night Slash,Tajo Nocturno,Tajo Nocturno,つじぎり,Nachtschnitt,Jackpot,Fendente Notturno,Corte Noturno
AQUA_TAIL,Aqua Tail,Cola Aqua,Cola Aqua,アクアテール,Aquaschwanz,Queue Aqua,Coda Acqua,Cauda Aqua
SEED_BOMB,Seed Bomb,Bombardeo Semilla,Bombardeo Semilla,タネばくだん,Samenbombe,Jackpot,Bomba Seme,Bomba de Sementes
AIR_SLASH,Air Slash,Tajo Aéreo,Tajo Aéreo,エアスラッシュ,Luftschnitt,Tranche Air,Fendente Aereo,Corte Aéreo
X_SCISSOR,X-Scissor,Tijera X,Tijera X,シザークロス,X-Schere,Jackpot,Forbici X,Tesoura X
BUG_BUZZ,Bug Buzz,Zumbido,Zumbido,むしのさざめき,Käfersummen,Jackpot,Ronzio Insetto,Zumbido
DRAGON_PULSE,Dragon Pulse,Pulso Dragón,Pulso Dragón,りゅうのはどう,Drachenpuls,Jackpot,Impulso Drago,Pulso do Dragão
DRAGON_RUSH,Dragon Rush,Carga Dragón,Carga Dragón,げきりん,Drachenangriff,Jackpot,Assalto Drago,Carga do Dragão
POWER_GEM,Power Gem,Gema Poder,Gema Poder,パワージェム,Kraftjuwel,Jackpot,Gemma Potere,Gema de Poder
DRAIN_PUNCH,Drain Punch,Puño Drenaje,Puño Drenaje,きゅうけつパンチ,Saugerpunch,Jackpot,Pugno Drenante,Soco Drenante
VACUUM_WAVE,Vacuum Wave,Onda Vacío,Onda Vacío,しんくうは,Vakuumwelle,Jackpot,Onda del Vuoto,Onda de Vácuo
FOCUS_BLAST,Focus Blast,Onda Certera,Onda Certera,きあいだま,Fokustreffer,Jackpot,Esplosione Focale,Onda Certeira
ENERGY_BALL,Energy Ball,Bola de Energía,Bola de Energía,エナジーボール,Energieball,Jackpot,Sfera Energia,Bola de Energia
BRAVE_BIRD,Brave Bird,Pájaro Osado,Pájaro Osado,ブレイブバード,Tollkühner Vogel,Jackpot,Uccello Audace,Pássaro Corajoso
EARTH_POWER,Earth Power,Poder Tierra,Poder Tierra,だいちのちから,Erdkraft,Jackpot,Potere della Terra,Força da Terra
SWITCHEROO,Switcheroo,Cambalache,Cambalache,トリック,Tauschspiel,Jackpot,Scambio,Cambaleo
GIGA_IMPACT,Giga Impact,Giga Impacto,Giga Impacto,ギガインパクト,Gigaeinschlag,Jackpot,Giga Impatto,Giga Impacto
NASTY_PLOT,Nasty Plot,Maquinación,Maquinación,わるだくみ,Übler Trick,Jackpot,Macchinazione,Maquinação
